arm,series,x,acc,lo,hi,n,steps,tokens_per_ep
base_b1,base,1,0.0054,0.0021,0.0137,747,1.000,1419
base_b3,base,3,0.2731,0.2424,0.3061,747,2.968,5067
base_b5,base,5,0.2811,0.2501,0.3144,747,4.888,8939
base_b8,base,8,0.2624,0.2321,0.2951,747,7.738,14923
trained_b1,trained,1,0.1031,0.0833,0.1270,747,1.000,1729
trained_b3,trained,3,0.6212,0.5858,0.6552,747,2.918,5334
trained_b5,trained,5,0.6680,0.6334,0.7008,747,4.436,9027
trained_b8,trained,8,0.6734,0.6389,0.7060,747,6.510,13922
teacher_b1,teacher,1,0.5997,0.5642,0.6343,747,1.000,4766
teacher_b3,teacher,3,0.8273,0.7985,0.8527,747,2.893,7231
teacher_b5,teacher,5,0.8501,0.8227,0.8739,747,4.210,10055
teacher_b8,teacher,8,0.8581,0.8312,0.8813,747,5.639,13358
